frame_index,pred_yaw,oxts_yaw,abs_yaw_error,yaw_confidence,confidence,high_yaw_confidence,high_overall_confidence,high_yaw_error,yaw_confidence_failure,overall_confidence_failure,detected_line_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,is_91_100
0,-62.98,-70.01026722086189,7.030267220861894,0.99,0.9,True,True,False,False,False,70,10,32,22,False
1,-54.47,-69.10310314383125,14.63310314383125,0.97,0.89,True,True,False,False,False,88,12,45,22,False
2,-30.28,-68.38959880155484,38.10959880155484,0.96,0.9,True,True,True,True,True,92,8,25,17,False
3,-49.45,-67.67655282551452,18.226552825514517,0.97,0.91,True,True,False,False,False,95,12,32,19,False
4,-58.66,-66.87681833507092,8.216818335070926,0.99,0.91,True,True,False,False,False,96,11,44,15,False
5,-54.77,-66.15941787978763,11.389417879787622,0.96,0.9,True,True,False,False,False,106,11,40,20,False
6,-62.58,-65.44161635404772,2.861616354047726,0.96,0.89,True,True,False,False,False,118,18,115,19,False
7,-54.87,-64.67522800728074,9.80522800728074,0.97,0.9,True,True,False,False,False,119,27,245,20,False
8,-58.69,-64.01122721850363,5.321227218503637,0.97,0.87,True,True,False,False,False,103,18,105,24,False
9,-67.44,-63.35496135996078,4.085038640039215,0.95,0.88,True,True,False,False,False,104,24,79,20,False
10,-60.24,-62.63773279201601,2.397732792016008,0.95,0.86,True,True,False,False,False,122,16,69,37,False
11,-60.66,-61.954595212881536,1.2945952128815392,0.96,0.89,True,True,False,False,False,117,32,193,33,False
12,-61.95,-61.313340848571116,0.6366591514288871,0.95,0.87,True,True,False,False,False,148,34,225,52,False
13,-61.77,-60.604534760214776,1.1654652397852274,0.97,0.88,True,True,False,False,False,118,23,155,39,False
14,-54.21,-59.92603813922085,5.716038139220849,0.92,0.86,True,True,False,False,False,142,29,173,43,False
15,-69.99,-59.25544833579974,10.734551664200254,0.95,0.86,True,True,False,False,False,160,34,321,44,False
16,-59.31,-58.58119160248979,0.728808397510214,0.95,0.88,True,True,False,False,False,145,54,773,47,False
17,-53.06,-57.96818405747932,4.908184057479318,0.98,0.89,True,True,False,False,False,157,61,605,45,False
18,-55.27,-57.33581053899343,2.065810538993425,0.97,0.88,True,True,False,False,False,166,55,847,44,False
19,-40.58,-56.670434651508,16.090434651508005,0.97,0.87,True,True,False,False,False,163,56,985,47,False
20,-53.39,-55.91298444634506,2.522984446345056,0.98,0.88,True,True,False,False,False,198,68,877,63,False
21,-55.88,-55.23964444550732,0.640355554492686,0.96,0.86,True,True,False,False,False,173,46,553,65,False
22,-51.32,-54.48918432544497,3.1691843254449665,0.96,0.88,True,True,False,False,False,194,58,1009,72,False
23,-58.45,-53.80593215475145,4.64406784524855,0.95,0.88,True,True,False,False,False,198,65,1220,56,False
24,-52.95,-53.13505587243277,0.18505587243276977,0.94,0.87,True,True,False,False,False,208,68,1027,64,False
25,-53.79,-52.505719030261076,1.2842809697389228,0.96,0.88,True,True,False,False,False,203,81,1674,47,False
26,-49.76,-51.70976606126534,1.9497660612653434,0.97,0.9,True,True,False,False,False,222,79,1804,59,False
27,-51.82,-51.0307537782558,0.7892462217442002,0.98,0.88,True,True,False,False,False,208,76,1190,61,False
28,-44.31,-50.39901051334455,6.089010513344547,0.97,0.9,True,True,False,False,False,193,74,1566,61,False
29,-54.29,-49.64660233677876,4.643397663221236,0.97,0.88,True,True,False,False,False,224,74,1485,67,False
30,-50.8,-48.96993918072925,1.8300608192707486,0.96,0.87,True,True,False,False,False,225,71,896,74,False
31,-50.03,-48.21924987754885,1.8107501224511537,0.96,0.87,True,True,False,False,False,234,81,1722,74,False
32,-54.17,-47.498640858612816,6.671359141387185,0.97,0.87,True,True,False,False,False,224,108,2695,63,False
33,-36.29,-46.75499893631252,10.464998936312519,0.97,0.86,True,True,False,False,False,224,86,2166,78,False
34,-39.39,-46.04607825639715,6.6560782563971514,0.97,0.88,True,True,False,False,False,243,80,1586,82,False
35,-45.02,-45.24766156888235,0.2276615688823469,0.96,0.89,True,True,False,False,False,222,87,2354,65,False
36,-40.74,-44.43056645724628,3.690566457246277,0.96,0.88,True,True,False,False,False,214,77,1716,69,False
37,-47.72,-43.63100385414121,4.088996145858786,0.97,0.88,True,True,False,False,False,232,73,1121,79,False
38,-35.71,-42.726761861865754,7.016761861865753,0.95,0.87,True,True,False,False,False,234,81,1474,90,False
39,-47.93,-41.8895559316206,6.040444068379401,0.96,0.88,True,True,False,False,False,230,79,1634,69,False
40,-44.17,-40.977922783787946,3.1920772162120556,0.95,0.87,True,True,False,False,False,266,99,2637,71,False
41,-37.61,-39.90901272119188,2.299012721191879,0.96,0.88,True,True,False,False,False,250,101,2994,71,False
42,-50.4,-38.95148565396924,11.448514346030755,0.96,0.85,True,True,False,False,False,232,83,2487,61,False
43,-45.29,-37.961758358660255,7.328241641339744,0.96,0.86,True,True,False,False,False,277,124,5497,60,False
44,-28.84,-36.80151882352034,7.96151882352034,0.97,0.86,True,True,False,False,False,276,116,4690,59,False
45,-37.24,-35.72917101415349,1.5108289858465085,0.96,0.87,True,True,False,False,False,284,135,6512,61,False
46,-38.55,-34.64290033036497,3.9070996696350306,0.96,0.88,True,True,False,False,False,295,114,4414,55,False
47,-36.02,-33.44713741192694,2.5728625880730647,0.95,0.86,True,True,False,False,False,261,98,3580,51,False
48,-22.85,-32.39186374485499,9.541863744854986,0.97,0.86,True,True,False,False,False,305,107,3859,60,False
49,-30.47,-31.35939379802925,0.8893937980292499,0.96,0.88,True,True,False,False,False,252,89,2885,47,False
50,-19.44,-30.231297195196166,10.791297195196165,0.96,0.88,True,True,False,False,False,273,84,2446,43,False
51,-21.77,-29.25732623925328,7.487326239253282,0.96,0.87,True,True,False,False,False,278,124,5345,34,False
52,3.84,-28.3315410338809,32.1715410338809,0.97,0.86,True,True,True,True,True,254,87,2636,39,False
53,-3.05,-27.3145982433032,24.2645982433032,0.97,0.88,True,True,False,False,False,241,60,1234,41,False
54,9.36,-26.431612985227087,35.79161298522709,0.97,0.87,True,True,True,True,True,237,68,1614,33,False
55,18.89,-25.57452541949089,44.46452541949089,0.98,0.87,True,True,True,True,True,200,76,1876,19,False
56,27.51,-24.68340416072392,52.19340416072392,0.97,0.87,True,True,True,True,True,189,69,1604,24,False
57,23.83,-24.01344461087745,47.84344461087745,0.97,0.89,True,True,True,True,True,172,57,1085,31,False
58,33.33,-23.416938250366748,56.746938250366746,0.98,0.88,True,True,True,True,True,175,83,2402,25,False
59,3.12,-22.891364064893246,26.011364064893247,0.96,0.87,True,True,False,False,False,119,50,918,29,False
60,33.52,-22.405438558842793,55.9254385588428,0.96,0.86,True,True,True,True,True,131,47,782,36,False
61,45.25,-22.061434698646245,67.31143469864625,0.98,0.87,True,True,True,True,True,105,34,372,35,False
62,24.52,-21.80904678989112,46.32904678989112,0.97,0.89,True,True,True,True,True,97,59,1356,13,False
63,38.31,-21.639966944548014,59.94996694454802,0.96,0.88,True,True,True,True,True,82,37,502,19,False
64,19.29,-21.59246874333167,40.88246874333167,0.96,0.87,True,True,True,True,True,74,35,454,20,False
65,42.72,-21.638534550060186,64.35853455006018,0.97,0.88,True,True,True,True,True,90,34,470,24,False
66,42.02,-21.799764873610002,63.819764873610005,0.97,0.9,True,True,True,True,True,87,40,620,23,False
67,23.94,-22.078680728279682,46.01868072827968,0.97,0.88,True,True,True,True,True,80,39,610,19,False
68,48.16,-22.476714508557066,70.63671450855706,0.95,0.86,True,True,True,True,True,90,31,346,27,False
69,34.17,-23.019649315223035,57.189649315223036,0.96,0.87,True,True,True,True,True,74,29,330,19,False
70,37.27,-23.583038715175174,60.853038715175174,0.97,0.87,True,True,True,True,True,82,27,296,22,False
71,31.87,-24.328456806640375,56.19845680664038,0.96,0.89,True,True,True,True,True,65,22,195,18,False
72,44.04,-25.13168633963428,69.17168633963428,0.96,0.87,True,True,True,True,True,78,29,338,23,False
73,23.47,-26.009629569113237,49.479629569113236,0.97,0.87,True,True,True,True,True,82,24,219,25,False
74,37.53,-27.041125487687257,64.57112548768725,0.98,0.86,True,True,True,True,True,64,23,217,12,False
75,16.68,-28.091414421941572,44.77141442194157,0.97,0.87,True,True,True,True,True,72,25,257,15,False
76,27.01,-29.246382745366287,56.25638274536629,0.97,0.88,True,True,True,True,True,71,31,383,16,False
77,15.4,-30.566420209568186,45.966420209568184,0.97,0.88,True,True,True,True,True,71,31,321,12,False
78,45.13,-31.770892086492207,76.9008920864922,0.98,0.86,True,True,True,True,True,58,16,71,16,False
79,35.44,-33.00017303594539,68.44017303594538,0.97,0.88,True,True,True,True,True,49,17,102,6,False
80,7.03,-34.40953462040818,41.43953462040818,0.91,0.83,True,False,True,True,False,52,12,51,7,False
81,53.03,-35.75787619968955,88.78787619968955,0.93,0.85,True,True,True,True,True,60,25,200,10,False
82,60.66,-37.12203141411652,97.78203141411652,0.96,0.84,True,False,True,True,False,61,33,374,7,False
83,55.0,-38.675434588275216,93.67543458827521,0.92,0.84,True,False,True,True,False,70,40,546,6,False
84,62.33,-40.103188117961714,102.43318811796172,0.95,0.84,True,False,True,True,False,72,33,364,13,False
85,39.81,-41.54205702887375,81.35205702887376,0.92,0.82,True,False,True,True,False,71,28,249,12,False
86,57.4,-43.128519867811484,100.52851986781148,0.94,0.84,True,False,True,True,False,73,33,318,15,False
87,51.57,-44.565669905338126,96.13566990533812,0.93,0.83,True,False,True,True,False,68,39,530,9,False
88,61.27,-45.99714766069298,107.26714766069298,0.97,0.84,True,False,True,True,False,64,34,340,7,False
89,55.12,-47.532158889627965,102.65215888962797,0.95,0.85,True,True,True,True,True,61,37,478,10,False
90,60.05,-48.907314893721455,108.95731489372145,0.97,0.85,True,True,True,True,True,70,42,635,13,False
91,62.01,-50.3089988437295,112.3189988437295,0.99,0.87,True,True,True,True,True,77,48,763,17,True
92,59.2,-51.83123311383307,111.03123311383308,0.98,0.86,True,True,True,True,True,79,48,812,11,True
93,58.35,-53.17361593204508,111.52361593204509,0.98,0.89,True,True,True,True,True,70,40,612,16,True
94,58.78,-54.528260047072884,113.30826004707288,0.99,0.86,True,True,True,True,True,64,34,398,16,True
95,56.97,-56.03531093560549,113.00531093560548,0.99,0.88,True,True,True,True,True,67,42,582,13,True
96,57.64,-57.4478237879415,115.0878237879415,0.99,0.89,True,True,True,True,True,58,38,441,13,True
97,55.78,-58.860336640277524,114.64033664027752,0.99,0.87,True,True,True,True,True,56,34,398,12,True
98,51.64,-60.2853972683269,111.9253972683269,0.99,0.88,True,True,True,True,True,39,22,153,8,True
99,51.55,-61.857135091929784,113.40713509192977,0.99,0.89,True,True,True,True,True,39,20,119,13,True
100,50.52,-63.31760451171826,113.83760451171827,1.0,0.91,True,True,True,True,True,33,18,110,6,True
101,45.92,-64.88269602489761,110.80269602489761,1.0,0.89,True,True,True,True,True,40,19,123,14,False
102,42.41,-66.2381995766181,108.6481995766181,0.99,0.87,True,True,True,True,True,34,17,95,8,False
103,40.72,-67.58367636692383,108.30367636692382,0.99,0.88,True,True,True,True,True,43,21,166,15,False
104,37.53,-69.05537575949685,106.58537575949686,0.99,0.86,True,True,True,True,True,36,20,152,10,False
105,32.42,-70.42703672104005,102.84703672104006,0.99,0.88,True,True,True,True,True,43,25,234,8,False
106,32.22,-71.7958901893871,104.0158901893871,1.0,0.86,True,True,True,True,True,44,31,386,4,False
107,26.22,-73.24123352338411,99.46123352338411,0.99,0.87,True,True,True,True,True,64,43,754,12,False
108,21.22,-74.49704241875185,95.71704241875184,1.0,0.89,True,True,True,True,True,39,24,219,7,False
109,16.16,-75.73342804486465,91.89342804486465,1.0,0.88,True,True,True,True,True,37,22,179,8,False
110,11.09,-76.978809108361,88.06880910836101,1.0,0.89,True,True,True,True,True,35,19,142,9,False
111,12.28,-78.33144787110587,90.61144787110587,1.0,0.89,True,True,True,True,True,35,16,94,12,False
112,5.35,-79.5316225645664,84.8816225645664,0.99,0.9,True,True,True,True,True,38,21,161,10,False
113,-1.28,-80.80118244701727,79.52118244701727,0.99,0.86,True,True,True,True,True,25,15,82,7,False
114,-3.19,-81.87799932718613,78.68799932718613,1.0,0.9,True,True,True,True,True,32,20,143,7,False
115,-7.81,-82.897864202519,75.087864202519,1.0,0.87,True,True,True,True,True,24,17,108,6,False
116,-7.57,-83.92059386682752,76.35059386682752,0.99,0.77,True,False,True,True,False,21,15,78,2,False
117,-14.46,-85.06759807689991,70.6075980768999,1.0,0.88,True,True,True,True,True,24,15,84,5,False
118,-19.21,-86.08809320580743,66.87809320580743,1.0,0.76,True,False,True,True,False,23,17,103,1,False
119,-25.61,-87.10870292627396,61.498702926273964,0.99,0.86,True,True,True,True,True,27,18,99,4,False
120,-21.96,-88.2440760931052,66.2840760931052,0.99,0.89,True,True,True,True,True,35,24,192,4,False
121,-30.71,-89.27379584251432,58.56379584251432,1.0,0.86,True,True,True,True,True,28,18,104,4,False
