frame_index,time_sec,pred_yaw,oxts_yaw,yaw_error,abs_yaw_error,pred_pitch,oxts_pitch,pitch_error,abs_pitch_error,pred_roll,oxts_roll,roll_error,abs_roll_error,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count
0,0.0,-63.25,-70.01026722086189,6.760267220861891,6.760267220861891,1.26,0.0005729577951308233,1.2594270422048692,1.2594270422048692,2.57,1.286118362730159,1.283881637269841,1.283881637269841,0.82,0.74,0.88,0.83,full,70,59,1,10,32,22
1,0.1,-55.81,-69.10310314383125,13.293103143831246,13.293103143831246,1.7,0.24877827464580346,1.4512217253541966,1.4512217253541966,1.91,1.3096096323305226,0.6003903676694773,0.6003903676694773,0.81,0.73,0.87,0.82,full,88,74,2,12,45,22
2,0.2,-46.88,-68.38959880155484,21.509598801554837,21.509598801554837,2.71,0.8515298751234295,1.8584701248765705,1.8584701248765705,1.8,1.3255951548146727,0.47440484518532733,0.47440484518532733,0.82,0.73,0.92,0.82,full,92,81,3,8,25,17
3,0.3,-55.52,-67.67655282551452,12.156552825514517,12.156552825514517,2.75,1.3103544774641929,1.4396455225358071,1.4396455225358071,0.91,1.1432799844040447,-0.23327998440404463,0.23327998440404463,0.83,0.73,0.93,0.82,full,95,79,4,12,32,19
4,0.4,-58.28,-66.87681833507092,8.596818335070921,8.596818335070921,2.77,1.3321841694586771,1.437815830541323,1.437815830541323,0.8,1.1291852226438264,-0.3291852226438263,0.3291852226438263,0.91,0.99,0.91,0.84,full,96,82,3,11,44,15
5,0.5,-44.3,-66.15941787978763,21.859417879787628,21.859417879787628,2.79,1.2014352006098232,1.5885647993901768,1.5885647993901768,0.9,1.0792805986879317,-0.17928059868793167,0.17928059868793167,0.76,0.54,0.93,0.82,full,106,90,5,11,40,20
6,0.6,-38.93,-65.44161635404772,26.511616354047725,26.511616354047725,1.77,1.1128559254825978,0.6571440745174022,0.6571440745174022,0.73,1.2240097377379777,-0.49400973773797774,0.49400973773797774,0.78,0.64,0.89,0.81,full,118,98,2,18,115,19
7,0.7,-9.58,-64.67522800728074,55.09522800728074,55.09522800728074,2.55,0.9014917948588373,1.6485082051411624,1.6485082051411624,-0.0,1.157489337723289,-1.157489337723289,1.157489337723289,0.62,0.15,0.89,0.83,full,119,90,2,27,245,20
8,0.8,-59.4,-64.01122721850363,4.611227218503636,4.611227218503636,1.9,0.7165410185906075,1.1834589814093923,1.1834589814093923,-0.0,1.0365379471711722,-1.0365379471711722,1.0365379471711722,0.68,0.39,0.83,0.82,full,103,83,2,18,105,24
9,0.9,-48.2,-63.35496135996078,15.15496135996078,15.15496135996078,2.12,0.6615943660375616,1.4584056339624385,1.4584056339624385,-0.0,0.7904525741624837,-0.7904525741624837,0.7904525741624837,0.78,0.64,0.9,0.8,full,104,75,5,24,79,20
10,1.0,-8.1,-62.63773279201601,54.53773279201601,54.53773279201601,1.6,0.28086391117312953,1.3191360888268706,1.3191360888268706,-0.83,0.8606399040660095,-1.6906399040660096,1.6906399040660096,0.6,0.15,0.84,0.8,full,122,103,3,16,69,37
11,1.1,-61.56,-61.954595212881536,0.39459521288153354,0.39459521288153354,1.34,0.22310976542394256,1.1168902345760574,1.1168902345760574,-0.0,0.9886386754982355,-0.9886386754982355,0.9886386754982355,0.65,0.24,0.91,0.81,full,117,84,1,32,193,33
