frame_index,time_sec,segment,raw_vp_yaw,image_geometry_yaw,reliability_gated_yaw,calibrated_heading_yaw,oxts_yaw,raw_abs_yaw_error,current_abs_yaw_error,calibrated_abs_yaw_error,yaw_confidence_before,yaw_confidence_after,confidence_failure_before,confidence_failure_after,yaw_calibration_model,yaw_calibration_scale,yaw_calibration_offset,comparison_ready,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,yaw_warning_flags
0,0.0,calibration_0_80,-63.25,-63.25,-63.25,-38.4547,-70.01026722086189,6.760267220861891,6.760267220861891,31.55556722086189,0.74,0.48,False,False,linear,-0.2705094869167766,-55.56446532378772,True,,False,0.7355,0.8125,"[""high_cluster_ambiguity""]"
1,0.1,calibration_0_80,-55.81,-55.81,-55.81,-40.4673,-69.10310314383125,13.293103143831246,13.293103143831246,28.635803143831247,0.73,0.66,False,False,linear,-0.2705094869167766,-55.56446532378772,True,95.88180327882867,False,0.701,0.8889,"[""high_cluster_ambiguity""]"
2,0.2,calibration_0_80,-46.88,-46.88,-46.88,-42.883,-68.38959880155484,21.509598801554837,21.509598801554837,25.506598801554837,0.73,0.66,False,False,linear,-0.2705094869167766,-55.56446532378772,True,81.39965233340985,False,0.7323,0.72,"[""high_cluster_ambiguity""]"
3,0.3,calibration_0_80,-55.52,-55.52,-55.52,-40.5458,-67.67655282551452,12.156552825514517,12.156552825514517,27.13075282551452,0.73,0.66,False,False,linear,-0.2705094869167766,-55.56446532378772,True,81.3899711266689,False,0.6926,0.8438,"[""high_cluster_ambiguity""]"
4,0.4,calibration_0_80,-58.28,-58.28,-58.28,-39.7992,-66.87681833507092,8.596818335070921,8.596818335070921,27.077618335070923,0.99,0.99,False,False,linear,-0.2705094869167766,-55.56446532378772,True,35.633973957446806,False,0.4845,0.9773,[]
5,0.5,calibration_0_80,-44.3,-44.3,-44.3,-43.5809,-66.15941787978763,21.859417879787628,21.859417879787628,22.578517879787626,0.54,0.38,False,False,linear,-0.2705094869167766,-55.56446532378772,True,120.55107009064659,False,0.9053,0.55,"[""large_temporal_jump"", ""high_cluster_ambiguity""]"
6,0.6,calibration_0_80,-38.93,-38.93,-38.93,-45.0335,-65.44161635404772,26.511616354047725,26.511616354047725,20.408116354047728,0.64,0.45,False,False,linear,-0.2705094869167766,-55.56446532378772,True,41.636508018804854,False,0.9742,0.1217,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
7,0.7,calibration_0_80,9.58,9.58,-9.58,-52.973,-64.67522800728074,74.25522800728073,55.09522800728074,11.702228007280738,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,190.31951161139517,True,0.9644,0.102,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
8,0.8,calibration_0_80,-59.4,-59.4,-59.4,-39.4962,-64.01122721850363,4.611227218503636,4.611227218503636,24.515027218503633,0.39,0.27,False,False,linear,-0.2705094869167766,-55.56446532378772,True,348.52973502988226,True,0.9544,0.819,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
9,0.9,calibration_0_80,-48.2,-48.2,-48.2,-42.5259,-63.35496135996078,15.15496135996078,15.15496135996078,20.829061359960782,0.64,0.45,False,False,linear,-0.2705094869167766,-55.56446532378772,True,113.60240886530529,False,0.9392,0.3291,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
10,1.0,calibration_0_80,8.1,8.1,-8.1,-53.3733,-62.63773279201601,70.737732792016,54.53773279201601,9.26443279201601,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,236.12602948425658,True,0.9694,0.1739,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
11,1.1,calibration_0_80,61.56,61.56,-61.56,-38.9119,-61.954595212881536,123.51459521288155,0.39459521288153354,23.042695212881533,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,328.69289526851657,True,0.9992,0.1295,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
12,1.2,calibration_0_80,29.08,29.08,-29.08,-47.698,-61.313340848571116,90.39334084857111,32.23334084857112,13.615340848571115,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,247.7115354600992,True,0.9733,0.0933,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
13,1.3,calibration_0_80,-63.05,-63.05,-63.05,-38.5088,-60.604534760214776,2.4454652397852215,2.4454652397852215,22.095734760214775,0.39,0.27,False,False,linear,-0.2705094869167766,-55.56446532378772,True,479.6198705224795,True,1.0,0.8452,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
14,1.4,calibration_0_80,12.7,12.7,-12.7,-52.129,-59.92603813922085,72.62603813922085,47.22603813922085,7.797038139220852,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,411.9087301818207,True,0.9796,0.2139,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
15,1.5,calibration_0_80,-64.39,-64.39,-64.39,-38.1464,-59.25544833579974,5.134551664200259,5.134551664200259,21.10904833579974,0.4,0.28,False,False,linear,-0.2705094869167766,-55.56446532378772,True,433.3687436814058,True,0.9991,0.3614,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
16,1.6,calibration_0_80,66.88,66.88,-66.88,-37.4728,-58.58119160248979,125.46119160248978,8.298808397510207,21.10839160248979,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,839.7405414769494,True,0.9997,0.0983,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
17,1.7,calibration_0_80,46.9,46.9,-46.9,-42.8776,-57.96818405747932,104.86818405747931,11.068184057479321,15.090584057479319,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,242.1106600296651,True,0.9912,0.1603,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
18,1.8,calibration_0_80,63.33,63.33,-63.33,-38.4331,-57.33581053899343,120.66581053899343,5.99418946100657,18.902710538993425,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,176.94991438257335,True,0.9969,0.0567,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
19,1.9,calibration_0_80,21.39,21.39,-21.39,-49.7783,-56.670434651508,78.060434651508,35.280434651508,6.892134651508002,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,302.5793571941087,True,0.9733,0.134,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
20,2.0,calibration_0_80,25.07,25.07,-25.07,-48.7828,-55.91298444634506,80.98298444634506,30.842984446345056,7.130184446345055,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,16.189996911673592,True,0.9708,0.1539,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
21,2.1,calibration_0_80,-23.79,-23.79,-23.79,-49.129,-55.23964444550732,31.449644445507317,31.449644445507317,6.110644445507319,0.4,0.28,False,False,linear,-0.2705094869167766,-55.56446532378772,True,173.37111293407568,True,0.9977,0.3707,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
22,2.2,calibration_0_80,25.95,25.95,-25.95,-48.5447,-54.48918432544497,80.43918432544497,28.539184325444968,5.944484325444968,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,179.54579944961122,True,0.9832,0.1536,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
23,2.3,calibration_0_80,51.94,51.94,-51.94,-41.5142,-53.80593215475145,105.74593215475144,1.8659321547514551,12.29173215475145,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,147.88856784755208,True,0.9929,0.0869,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
24,2.4,calibration_0_80,22.8,22.8,-22.8,-49.3968,-53.13505587243277,75.93505587243277,30.335055872432772,3.7382558724327737,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,160.54139715350684,True,0.9965,0.258,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
25,2.5,calibration_0_80,-15.47,-15.47,-15.47,-51.3797,-52.505719030261076,37.03571903026108,37.03571903026108,1.1260190302610766,0.3,0.18,False,False,linear,-0.2705094869167766,-55.56446532378772,True,135.79120000942623,True,0.9952,0.1547,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
26,2.6,calibration_0_80,23.87,23.87,-23.87,-49.1074,-51.70976606126534,75.57976606126535,27.83976606126534,2.602366061265343,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,140.4508899936202,True,0.9813,0.179,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
27,2.7,calibration_0_80,38.9,38.9,-38.9,-45.0416,-51.0307537782558,89.93075377825579,12.130753778255801,5.9891537782557975,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,68.92788405282724,True,0.9947,0.1303,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
28,2.8,calibration_0_80,44.5,44.5,-44.5,-43.5268,-50.39901051334455,94.89901051334455,5.89901051334455,6.872210513344548,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,34.08446273597402,True,0.976,0.1379,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
29,2.9,calibration_0_80,31.87,31.87,-31.87,-46.9433,-49.64660233677876,81.51660233677876,17.776602336778762,2.703302336778762,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,67.4989636957487,True,0.98,0.1751,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
30,3.0,calibration_0_80,37.76,37.76,-37.76,-45.35,-48.96993918072925,86.72993918072925,11.20993918072925,3.619939180729247,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,28.595289821927,True,0.9793,0.1886,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
31,3.1,calibration_0_80,34.09,34.09,-34.09,-46.3428,-48.21924987754885,82.30924987754885,14.129249877548844,1.8764498775488505,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,20.989721294004895,True,0.9987,0.2085,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
32,3.2,calibration_0_80,3.12,3.12,-3.12,-54.7205,-47.498640858612816,50.618640858612814,44.37864085861282,7.221859141387185,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,125.8427069797848,True,0.9936,0.0794,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
33,3.3,calibration_0_80,47.2,47.2,-47.2,-42.7964,-46.75499893631252,93.95499893631252,0.44500106368748504,3.9585989363125194,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,199.1032259909417,True,0.9817,0.1477,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
34,3.4,calibration_0_80,47.68,47.68,-47.68,-42.6666,-46.04607825639715,93.72607825639716,1.6339217436028477,3.3794782563971495,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,7.424587530630895,True,0.9697,0.1854,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
35,3.5,calibration_0_80,46.29,46.29,-46.29,-43.0426,-45.24766156888235,91.53766156888236,1.0423384311176491,2.20506156888235,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,15.452443172521305,True,0.9894,0.2311,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
36,3.6,calibration_0_80,57.15,57.15,-57.15,-40.1048,-44.43056645724628,101.58056645724628,12.71943354275372,4.3257664572462815,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,93.99574937197961,True,0.9662,0.088,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
37,3.7,calibration_0_80,53.77,53.77,-53.77,-41.0192,-43.63100385414121,97.40100385414121,10.13899614585879,2.6118038541412147,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,35.5304095107276,True,0.9824,0.1561,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
38,3.8,calibration_0_80,54.38,54.38,-54.38,-40.8542,-42.726761861865754,97.10676186186575,11.653238138134249,1.872561861865755,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,8.316549765377442,True,0.9721,0.2707,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
39,3.9,calibration_0_80,46.97,46.97,-46.97,-42.8586,-41.8895559316206,88.8595559316206,5.0804440683794,0.9690440683794037,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,61.521450730619115,True,0.9864,0.1432,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
40,4.0,calibration_0_80,58.75,58.75,-58.75,-39.672,-40.977922783787946,99.72792278378795,17.772077216212054,1.305922783787949,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,109.02652200267602,True,0.9707,0.1604,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
