frame_index,time_sec,selected_vanishing_point_x,selected_vanishing_point_y,yaw,yaw_confidence,pred_yaw,oxts_yaw,abs_yaw_error,raw_vp_yaw,image_geometry_yaw,calibrated_heading_yaw,comparison_type,calibrated_pose,comparison_warning,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,selected_cluster_id,second_best_cluster_id,adjusted_yaw_confidence,yaw_warning_flags,confidence_failure_before,confidence_failure_after,detected_line_count,perspective_line_count,vanishing_point_candidate_count
0,0.0,249.94,105.83,-63.25,0.74,-63.25,-70.01026722086189,6.760267220861891,-63.25,-63.25,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,,False,0.7355,0.8125,1,2,0.481,"[""high_cluster_ambiguity""]",False,False,70,10,32
1,0.1,345.75,109.54,-55.81,0.73,-55.81,-69.10310314383125,13.293103143831246,-55.81,-55.81,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,95.88180327882867,False,0.701,0.8889,1,2,0.4745,"[""high_cluster_ambiguity""]",False,False,88,12,45
2,0.2,421.28,139.89,-46.88,0.73,-46.88,-68.38959880155484,21.509598801554837,-46.88,-46.88,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,81.39965233340985,False,0.7323,0.72,1,2,0.4745,"[""high_cluster_ambiguity""]",False,False,92,8,25
3,0.3,348.71,103.04,-55.52,0.73,-55.52,-67.67655282551452,12.156552825514517,-55.52,-55.52,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,81.3899711266689,False,0.6926,0.8438,1,2,0.4745,"[""high_cluster_ambiguity""]",False,False,95,12,32
4,0.4,318.47,121.89,-58.28,0.99,-58.28,-66.87681833507092,8.596818335070921,-58.28,-58.28,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,35.633973957446806,False,0.4845,0.9773,2,1,0.99,[],False,False,96,11,44
5,0.5,438.53,132.76,-44.3,0.54,-44.3,-66.15941787978763,21.859417879787628,-44.3,-44.3,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,120.55107009064659,False,0.9053,0.55,3,2,0.243,"[""high_cluster_ambiguity"", ""large_temporal_jump""]",False,False,106,11,40
6,0.6,469.95,105.44,-38.93,0.64,-38.93,-65.44161635404772,26.511616354047725,-38.93,-38.93,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,41.636508018804854,False,0.9742,0.1217,4,3,0.352,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]",False,False,118,18,115
7,0.7,652.56,159.06,-9.58,0.15,-9.58,-64.67522800728074,55.09522800728074,9.58,9.58,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,190.31951161139517,True,0.9644,0.102,4,3,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,119,27,245
8,0.8,304.85,135.17,-59.4,0.39,-59.4,-64.01122721850363,4.611227218503636,-59.4,-59.4,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,348.52973502988226,True,0.9544,0.819,2,3,0.0195,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip""]",False,False,103,18,105
9,0.9,411.88,173.25,-48.2,0.64,-48.2,-63.35496135996078,15.15496135996078,-48.2,-48.2,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,113.60240886530529,False,0.9392,0.3291,2,1,0.352,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]",False,False,104,24,79
