rank,metric,frame_index,time_sec,pred_value,oxts_value,error,abs_error,confidence,status,detected_line_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count
1,yaw,113,11.3,-2.02,-80.80118244701727,78.78118244701727,78.78118244701727,0.73,full,25,15,82,7
2,yaw,114,11.4,-3.19,-81.87799932718613,78.68799932718613,78.68799932718613,0.9,full,32,20,143,7
3,yaw,116,11.6,-7.9,-83.92059386682752,76.02059386682751,76.02059386682751,0.77,full,21,15,78,2
4,yaw,112,11.2,-5.35,-79.5316225645664,74.18162256456641,74.18162256456641,0.83,full,38,21,161,10
5,yaw,115,11.5,-9.79,-82.897864202519,73.10786420251901,73.10786420251901,0.79,full,24,17,108,6
6,yaw,152,15.2,-11.83,-83.42349568377202,71.59349568377202,71.59349568377202,0.94,full,25,10,38,8
7,yaw,151,15.1,-12.4,-83.92317217690561,71.5231721769056,71.5231721769056,0.86,full,32,14,83,12
8,yaw,150,15.0,-13.68,-84.44662641853714,70.76662641853713,70.76662641853713,0.82,full,28,12,57,11
9,yaw,117,11.7,-14.51,-85.06759807689991,70.55759807689991,70.55759807689991,0.88,full,24,15,84,5
10,yaw,153,15.3,-12.9,-83.01314331089932,70.11314331089932,70.11314331089932,0.92,full,33,9,28,14
1,pitch,117,11.7,-4.68,0.574905851634268,-5.254905851634268,5.254905851634268,0.88,full,24,15,84,5
2,pitch,138,13.8,-3.58,1.2984369553254718,-4.878436955325472,4.878436955325472,0.86,full,34,17,104,4
3,pitch,119,11.9,-4.28,0.48271694239771856,-4.762716942397719,4.762716942397719,0.86,full,27,18,99,4
4,pitch,121,12.1,-4.27,0.46329367314278364,-4.733293673142783,4.733293673142783,0.78,full,28,18,104,4
5,pitch,88,8.8,4.77,0.04549284893338736,4.724507151066613,4.724507151066613,0.69,full,64,34,340,7
6,pitch,87,8.7,4.72,0.0022345354010102104,4.7177654645989895,4.7177654645989895,0.7,full,68,39,530,9
7,pitch,79,7.9,-4.23,0.1445572517115067,-4.374557251711507,4.374557251711507,0.64,full,49,17,102,6
8,pitch,75,7.5,-3.54,0.4104096686522087,-3.9504096686522088,3.9504096686522088,0.6,full,72,25,257,15
9,pitch,73,7.3,-3.13,0.5013953665189834,-3.6313953665189835,3.6313953665189835,0.6,full,82,24,219,25
10,pitch,65,6.5,-3.02,0.5056352542029515,-3.5256352542029514,3.5256352542029514,0.74,full,90,34,470,24
1,roll,123,12.3,4.18,-1.0352774400218845,5.215277440021884,5.215277440021884,0.9,full,30,18,120,6
2,roll,121,12.1,3.68,-1.1342272512409777,4.814227251240978,4.814227251240978,0.78,full,28,18,104,4
3,roll,41,4.1,-2.49,1.9746990409183824,-4.464699040918383,4.464699040918383,0.64,full,250,101,2994,71
4,roll,16,1.6,-3.24,1.116293672253383,-4.356293672253383,4.356293672253383,0.61,full,145,54,773,47
5,roll,119,11.9,3.13,-1.0963547409828303,4.22635474098283,4.22635474098283,0.86,full,27,18,99,4
6,roll,118,11.8,2.88,-1.1527337880237034,4.0327337880237035,4.0327337880237035,0.76,full,23,17,103,1
7,roll,14,1.4,-2.75,1.2559807827062777,-4.005980782706278,4.005980782706278,0.6,full,142,29,173,43
8,roll,48,4.8,-2.2,1.7268947945243012,-3.9268947945243013,3.9268947945243013,0.62,full,305,107,3859,60
9,roll,69,6.9,-2.79,1.0846664019621615,-3.8746664019621617,3.8746664019621617,0.63,full,74,29,330,19
10,roll,120,12.0,2.49,-1.083577782151413,3.573577782151413,3.573577782151413,0.81,full,35,24,192,4
