frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y,raw_vp_yaw,image_geometry_yaw,calibrated_heading_yaw,comparison_ready,pose_semantics,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,selected_cluster_id,second_best_cluster_id,yaw_warning_flags
0,0.0,-63.25,1.26,2.57,-63.25,1.26,2.57,,,,0.82,0.74,0.88,0.83,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\""]""]",70,59,1,10,32,22,173.35,249.94,105.83,-63.25,-63.25,,False,single_frame_vanishing_point_image_geometry_yaw,,False,0.7355,0.8125,1,2,"[""high_cluster_ambiguity""]"
1,0.1,-55.81,1.7,1.91,-55.81,1.7,1.91,,,,0.81,0.73,0.87,0.82,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\""]""]",88,74,2,12,45,22,168.62,345.75,109.54,-55.81,-55.81,,False,single_frame_vanishing_point_image_geometry_yaw,95.88180327882867,False,0.701,0.8889,1,2,"[""high_cluster_ambiguity""]"
2,0.2,-46.88,2.71,1.8,-46.88,2.71,1.8,,,,0.82,0.73,0.92,0.82,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\""]""]",92,81,3,8,25,17,157.6,421.28,139.89,-46.88,-46.88,,False,single_frame_vanishing_point_image_geometry_yaw,81.39965233340985,False,0.7323,0.72,1,2,"[""high_cluster_ambiguity""]"
3,0.3,-55.52,2.75,0.91,-55.52,2.75,0.91,,,,0.83,0.73,0.93,0.82,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\""]""]",95,79,4,12,32,19,157.2,348.71,103.04,-55.52,-55.52,,False,single_frame_vanishing_point_image_geometry_yaw,81.3899711266689,False,0.6926,0.8438,1,2,"[""high_cluster_ambiguity""]"
4,0.4,-58.28,2.77,0.8,-58.28,2.77,0.8,,,,0.91,0.99,0.91,0.84,full,[],96,82,3,11,44,15,156.9,318.47,121.89,-58.28,-58.28,,False,single_frame_vanishing_point_image_geometry_yaw,35.633973957446806,False,0.4845,0.9773,2,1,[]
5,0.5,-44.3,2.79,0.9,-44.3,2.79,0.9,,,,0.76,0.54,0.93,0.82,full,"[""Yaw reliability warning: [\""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",106,90,5,11,40,20,156.71,438.53,132.76,-44.3,-44.3,,False,single_frame_vanishing_point_image_geometry_yaw,120.55107009064659,False,0.9053,0.55,3,2,"[""large_temporal_jump"", ""high_cluster_ambiguity""]"
6,0.6,-38.93,1.77,0.73,-38.93,1.77,0.73,,,,0.78,0.64,0.89,0.81,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",118,98,2,18,115,19,167.77,469.95,105.44,-38.93,-38.93,,False,single_frame_vanishing_point_image_geometry_yaw,41.636508018804854,False,0.9742,0.1217,4,3,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
7,0.7,-9.58,2.55,-0.0,9.58,2.55,-0.0,,,,0.62,0.15,0.89,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",119,90,2,27,245,20,159.3,652.56,159.06,9.58,9.58,,False,single_frame_vanishing_point_image_geometry_yaw,190.31951161139517,True,0.9644,0.102,4,3,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
8,0.8,-59.4,1.9,-0.0,-59.4,1.9,-0.0,,,,0.68,0.39,0.83,0.82,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",103,83,2,18,105,24,166.38,304.85,135.17,-59.4,-59.4,,False,single_frame_vanishing_point_image_geometry_yaw,348.52973502988226,True,0.9544,0.819,2,3,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
9,0.9,-48.2,2.12,-0.0,-48.2,2.12,-0.0,,,,0.78,0.64,0.9,0.8,full,"[""Yaw reliability warning: [\""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",104,75,5,24,79,20,163.96,411.88,173.25,-48.2,-48.2,,False,single_frame_vanishing_point_image_geometry_yaw,113.60240886530529,False,0.9392,0.3291,2,1,"[""high_cluster_ambiguity"", ""low_line_support_consistency""]"
10,1.0,-8.1,1.6,-0.83,8.1,1.6,-0.83,,,,0.6,0.15,0.84,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",122,103,3,16,69,37,169.6,647.61,159.58,8.1,8.1,,False,single_frame_vanishing_point_image_geometry_yaw,236.12602948425658,True,0.9694,0.1739,3,2,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
11,1.1,-61.56,1.34,-0.0,61.56,1.34,-0.0,,,,0.65,0.24,0.91,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",117,84,1,32,193,33,172.44,966.26,240.21,61.56,61.56,,False,single_frame_vanishing_point_image_geometry_yaw,328.69289526851657,True,0.9992,0.1295,3,2,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
12,1.2,-29.08,1.95,-0.92,29.08,1.95,-0.92,,,,0.63,0.24,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",148,112,2,34,225,52,165.91,724.98,184.13,29.08,29.08,,False,single_frame_vanishing_point_image_geometry_yaw,247.7115354600992,True,0.9733,0.0933,4,3,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
13,1.3,-63.05,0.69,-0.9,-63.05,0.69,-0.9,,,,0.68,0.39,0.85,0.81,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",118,94,1,23,155,39,179.55,253.19,97.82,-63.05,-63.05,,False,single_frame_vanishing_point_image_geometry_yaw,479.6198705224795,True,1.0,0.8452,2,3,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
