rank,metric,frame_index,timestamp_sec,pred_relative_yaw,oxts_absolute_yaw,oxts_relative_yaw,yaw_error,abs_yaw_error,pred_relative_pitch,oxts_absolute_pitch,oxts_relative_pitch,pitch_error,abs_pitch_error,pred_relative_roll,oxts_absolute_roll,oxts_relative_roll,roll_error,abs_roll_error,tracked_point_count,inlier_count,inlier_ratio,confidence,warnings
1,yaw,117,11.7,2.1039725388152393,-85.06759807689991,-1.1470042100723958,3.2509767488876378,3.2509767488876378,4.463279350692246,0.574905851634268,-0.08617285238767636,4.549452203079909,4.549452203079909,-15.361342474660125,-1.1757666913879623,-0.06124918829948456,-15.300093286360635,15.300093286360635,60,57,0.95,0.22799999999999998,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
2,yaw,103,10.3,0.9282511083926819,-67.58367636692383,-1.3454767903057245,2.273727898698411,2.273727898698411,-2.197209792829487,0.7219841176443503,0.04474800379972521,-2.241957796629208,2.241957796629208,-0.08147930051660066,-0.7144783705281366,-0.07379696401284264,-0.007682336503762599,0.007682336503762599,86,56,0.6511627906976745,0.21879069767441864,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
3,yaw,86,8.6,0.22747644688223145,-43.128519867811484,-1.5864628389377344,1.8139392858199699,1.8139392858199699,-0.373554655155828,-5.729577951308232e-05,0.022173466671574715,-0.39572812182740336,0.39572812182740336,0.03511196562658847,0.6992376931776566,-0.03346073523564996,0.06857270086223366,0.06857270086223366,228,131,0.5745614035087719,0.19807248384118192,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
4,yaw,97,9.7,0.39956433247758666,-58.860336640277524,-1.4125128523360218,1.812077184813603,1.812077184813603,-0.10760129022157627,0.33191445071928594,-0.026012283898950272,-0.08158900632261634,0.08158900632261634,0.05270330912922829,-0.2099890319154467,-0.20892905999446043,0.2616323691237028,0.2616323691237028,124,32,0.25806451612903225,0.03995837669094693,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
5,yaw,101,10.1,0.21730749246059294,-64.88269602489761,-1.5650915131793681,1.7823990056399737,1.7823990056399737,-0.20720938602444164,0.5645926113219132,0.11178406583002243,-0.31899345185445327,0.31899345185445327,-0.046716436365110164,-0.5172662974441072,-0.1379109412879984,0.09119450492289616,0.09119450492289616,110,45,0.4090909090909091,0.10041322314049589,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
6,yaw,95,9.5,0.23202513900830823,-56.03531093560549,-1.5070508885326035,1.7390760275409036,1.7390760275409036,-0.3272006971653195,0.38393901851716467,0.06004597692970037,-0.38724667409502445,0.38724667409502445,0.006060152252023603,0.2078690880734627,-0.21726559591360228,0.223325748165621,0.223325748165621,149,68,0.4563758389261745,0.12496734381334174,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
7,yaw,92,9.2,0.19053479732984874,-51.83123311383307,-1.5222342701035814,1.7127690674334417,1.7127690674334417,-0.2835777391493922,0.1137321223334684,0.012146705256782298,-0.29572444440617573,0.29572444440617573,0.04260230596516436,0.5569722726466733,-0.14111950494071834,0.1837218109058938,0.1837218109058938,204,90,0.4411764705882353,0.11678200692041524,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
8,yaw,91,9.1,0.28578600279437916,-50.3089988437295,-1.4016839500080494,1.6874699528024166,1.6874699528024166,-0.32501409216940086,0.10158541707669497,0.014610423775849313,-0.33962451594524623,0.33962451594524623,-0.10527336724490075,0.698091777587395,-0.04245617261918255,-0.06281719462572255,0.06281719462572255,211,119,0.5639810426540285,0.19084476988387508,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
9,yaw,96,9.6,0.24547394740635745,-57.4478237879415,-1.4125128523360218,1.657986799742389,1.657986799742389,-0.3032681150518446,0.3579267346182253,-0.026012283898950272,-0.27725583115289965,0.27725583115289965,-0.049706641259755886,-0.001059971920992023,-0.20892905999446043,0.1592224187347142,0.1592224187347142,135,69,0.5111111111111111,0.15674074074074074,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
10,yaw,77,7.7,0.24761061357428493,-30.566420209568186,-1.3200374642019028,1.567648077776198,1.567648077776198,-7.832837570705203,0.28412977060537525,-0.06485882240880869,-7.7679787482964,7.7679787482964,-0.5059040762388748,0.3743133275589668,-0.1957223828166832,-0.31018169342218016,0.31018169342218016,249,220,0.8835341365461847,0.3534136546184739,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
1,pitch,79,7.9,-0.031616295798765896,-33.00017303594539,-1.2292809494531696,1.1976646536544138,1.1976646536544138,-8.953857976164617,0.1445572517115067,-0.06749442826640006,-8.886363547898213,8.886363547898213,-0.38447645721616514,0.332716591632469,0.08262051405785087,-0.4670969712740032,0.4670969712740032,244,212,0.8688524590163934,0.3475409836065574,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
2,pitch,34,3.4,-0.27275269676481034,-46.04607825639715,0.7089206799153658,-0.9816733766801633,0.9816733766801633,7.997665195443932,0.6260136869599374,0.10445020605234845,7.893214989391595,7.893214989391595,-1.8141869606568215,1.6221581095743867,0.32509625295722344,-2.13928321361405,2.13928321361405,483,420,0.8695652173913043,0.34782608695652173,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
3,pitch,77,7.7,0.24761061357428493,-30.566420209568186,-1.3200374642019028,1.567648077776198,1.567648077776198,-7.832837570705203,0.28412977060537525,-0.06485882240880869,-7.7679787482964,7.7679787482964,-0.5059040762388748,0.3743133275589668,-0.1957223828166832,-0.31018169342218016,0.31018169342218016,249,220,0.8835341365461847,0.3534136546184739,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
4,pitch,38,3.8,0.011559090815131621,-42.726761861865754,0.9042419922754448,-0.8926829014603186,0.8926829014603186,6.86368878347595,0.7441002885364001,-0.19933201692600733,7.063020800401944,7.063020800401944,-0.605887148579389,1.5661801329901055,0.02280372024620192,-0.6286908688256005,0.6286908688256005,452,409,0.9048672566371682,0.3619469026548673,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
5,pitch,35,3.5,0.0014095355541089824,-45.24766156888235,0.7984166875148162,-0.7970071519607131,0.7970071519607131,6.676449349973711,0.8132562944086905,0.1872426074487521,6.489206742524971,6.489206742524971,-0.6452560481947036,1.7244883717847517,0.10233026221035857,-0.7475863104050688,0.7475863104050688,470,416,0.8851063829787233,0.35404255319148936,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
