rank,metric,frame_index,time_sec,pred_value,oxts_value,error,abs_error,confidence,status,detected_line_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count
1,yaw,96,9.6,57.64,-57.4478237879415,115.0878237879415,115.0878237879415,0.89,full,58,38,441,13
2,yaw,97,9.7,55.78,-58.860336640277524,114.64033664027752,114.64033664027752,0.87,full,56,34,398,12
3,yaw,100,10.0,50.52,-63.31760451171826,113.83760451171827,113.83760451171827,0.91,full,33,18,110,6
4,yaw,99,9.9,51.55,-61.857135091929784,113.40713509192977,113.40713509192977,0.89,full,39,20,119,13
5,yaw,94,9.4,58.78,-54.528260047072884,113.30826004707288,113.30826004707288,0.86,full,64,34,398,16
6,yaw,95,9.5,56.97,-56.03531093560549,113.00531093560548,113.00531093560548,0.88,full,67,42,582,13
7,yaw,91,9.1,62.01,-50.3089988437295,112.3189988437295,112.3189988437295,0.87,full,77,48,763,17
8,yaw,98,9.8,51.64,-60.2853972683269,111.9253972683269,111.9253972683269,0.88,full,39,22,153,8
9,yaw,93,9.3,58.35,-53.17361593204508,111.52361593204509,111.52361593204509,0.89,full,70,40,612,16
10,yaw,92,9.2,59.2,-51.83123311383307,111.03123311383308,111.03123311383308,0.86,full,79,48,812,11
1,pitch,117,11.7,-4.68,0.574905851634268,-5.254905851634268,5.254905851634268,0.88,full,24,15,84,5
2,pitch,138,13.8,-3.58,1.2984369553254718,-4.878436955325472,4.878436955325472,0.86,full,34,17,104,4
3,pitch,119,11.9,-4.28,0.48271694239771856,-4.762716942397719,4.762716942397719,0.86,full,27,18,99,4
4,pitch,121,12.1,-4.27,0.46329367314278364,-4.733293673142783,4.733293673142783,0.86,full,28,18,104,4
5,pitch,88,8.8,4.77,0.04549284893338736,4.724507151066613,4.724507151066613,0.84,full,64,34,340,7
6,pitch,87,8.7,4.72,0.0022345354010102104,4.7177654645989895,4.7177654645989895,0.83,full,68,39,530,9
7,pitch,79,7.9,-4.23,0.1445572517115067,-4.374557251711507,4.374557251711507,0.88,full,49,17,102,6
8,pitch,75,7.5,-3.54,0.4104096686522087,-3.9504096686522088,3.9504096686522088,0.87,full,72,25,257,15
9,pitch,73,7.3,-3.13,0.5013953665189834,-3.6313953665189835,3.6313953665189835,0.87,full,82,24,219,25
10,pitch,65,6.5,-3.02,0.5056352542029515,-3.5256352542029514,3.5256352542029514,0.88,full,90,34,470,24
1,roll,123,12.3,4.18,-1.0352774400218845,5.215277440021884,5.215277440021884,0.9,full,30,18,120,6
2,roll,121,12.1,3.68,-1.1342272512409777,4.814227251240978,4.814227251240978,0.86,full,28,18,104,4
3,roll,41,4.1,-2.49,1.9746990409183824,-4.464699040918383,4.464699040918383,0.88,full,250,101,2994,71
4,roll,16,1.6,-3.24,1.116293672253383,-4.356293672253383,4.356293672253383,0.88,full,145,54,773,47
5,roll,119,11.9,3.13,-1.0963547409828303,4.22635474098283,4.22635474098283,0.86,full,27,18,99,4
6,roll,118,11.8,2.88,-1.1527337880237034,4.0327337880237035,4.0327337880237035,0.76,full,23,17,103,1
7,roll,14,1.4,-2.75,1.2559807827062777,-4.005980782706278,4.005980782706278,0.86,full,142,29,173,43
8,roll,48,4.8,-2.2,1.7268947945243012,-3.9268947945243013,3.9268947945243013,0.86,full,305,107,3859,60
9,roll,69,6.9,-2.79,1.0846664019621615,-3.8746664019621617,3.8746664019621617,0.87,full,74,29,330,19
10,roll,120,12.0,2.49,-1.083577782151413,3.573577782151413,3.573577782151413,0.89,full,35,24,192,4
