frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y
0,0.0,-62.98,1.26,2.57,-62.98,1.26,2.57,,,,0.9,0.99,0.88,0.83,full,[],70,59,1,10,32,22,173.35,254.27,107.0
1,0.1,-54.47,1.7,1.91,-54.47,1.7,1.91,,,,0.89,0.97,0.87,0.82,full,[],88,74,2,12,45,22,168.62,359.14,128.73
2,0.2,-30.28,2.71,1.8,-30.28,2.71,1.8,,,,0.9,0.96,0.92,0.82,full,[],92,81,3,8,25,17,157.6,511.8,141.19
3,0.3,-49.45,2.75,0.91,-49.45,2.75,0.91,,,,0.91,0.97,0.93,0.82,full,[],95,79,4,12,32,19,157.2,402.42,107.26
4,0.4,-58.66,2.77,0.8,-58.66,2.77,0.8,,,,0.91,0.99,0.91,0.84,full,[],96,82,3,11,44,15,156.9,313.98,122.21
5,0.5,-54.77,2.79,0.9,-54.77,2.79,0.9,,,,0.9,0.96,0.93,0.82,full,[],106,90,5,11,40,20,156.71,356.2,103.55
6,0.6,-62.58,1.77,0.73,-62.58,1.77,0.73,,,,0.89,0.96,0.89,0.81,full,[],118,98,2,18,115,19,167.77,260.53,102.33
7,0.7,-54.87,2.55,-0.0,-54.87,2.55,-0.0,,,,0.9,0.97,0.89,0.83,full,[],119,90,2,27,245,20,159.3,355.2,108.29
8,0.8,-58.69,1.9,-0.0,-58.69,1.9,-0.0,,,,0.87,0.97,0.83,0.82,full,[],103,83,2,18,105,24,166.38,313.55,129.6
9,0.9,-67.44,2.12,-0.0,-67.44,2.12,-0.0,,,,0.88,0.95,0.9,0.8,full,[],104,75,5,24,79,20,163.96,170.98,68.51
10,1.0,-60.24,1.6,-0.83,-60.24,1.6,-0.83,,,,0.86,0.95,0.84,0.8,full,[],122,103,3,16,69,37,169.6,293.89,99.14
11,1.1,-60.66,1.34,-0.0,-60.66,1.34,-0.0,,,,0.89,0.96,0.91,0.81,full,[],117,84,1,32,193,33,172.44,288.34,105.77
12,1.2,-61.95,1.95,-0.92,-61.95,1.95,-0.92,,,,0.87,0.95,0.85,0.8,full,[],148,112,2,34,225,52,165.91,270.0,76.62
13,1.3,-61.77,0.69,-0.9,-61.77,0.69,-0.9,,,,0.88,0.97,0.85,0.81,full,[],118,94,1,23,155,39,179.55,272.63,97.82
14,1.4,-54.21,1.08,-2.75,-54.21,1.08,-2.75,,,,0.86,0.92,0.85,0.81,full,[],142,109,4,29,173,43,175.33,361.66,128.13
15,1.5,-69.99,1.52,-0.0,-69.99,1.52,-0.0,,,,0.86,0.95,0.83,0.81,full,[],160,121,5,34,321,44,170.5,107.58,79.02
16,1.6,-59.31,1.2,-3.24,-59.31,1.2,-3.24,,,,0.88,0.95,0.89,0.8,full,[],145,88,3,54,773,47,174.02,305.89,103.43
17,1.7,-53.06,0.79,-0.69,-53.06,0.79,-0.69,,,,0.89,0.98,0.89,0.81,full,[],157,91,5,61,605,45,178.4,372.32,110.42
18,1.8,-55.27,0.58,-0.0,-55.27,0.58,-0.0,,,,0.88,0.97,0.89,0.79,full,[],166,106,5,55,847,44,180.74,351.19,122.48
19,1.9,-40.58,-1.33,-1.68,-40.58,-1.33,-1.68,,,,0.87,0.97,0.85,0.8,full,[],163,103,4,56,985,47,201.47,460.83,151.32
